in:Floor height m	in:window tilt degrees	in:sill height	in:Hzl glz percent	in:SF	in:Blind position	out:minimum Daylight	out:Average daylight	out:Maximum solar heat gain kWh/m²	out:Cooling load kWh/m²	out:Heating load kWh/m²	out:Lighting kWh/m²
50.41	2.5859375	0.709	0.614	38	0	34.007134	58.539217	31.933814	7.400628	2.48135	10.212765
127.91	9.5859375	0.334	0.814	27	1	42.251288	63.205179	35.768778	7.376428	3.501753	9.114613
31.035	7.8359375	0.24	0.664	27	1	20.610384	46.158674	27.396338	7.313995	3.386439	11.215919
108.535	14.8359375	0.615	0.864	38	0	47.403884	66.239486	47.336242	8.077922	2.975655	9.030476
69.785	11.3359375	0.053	0.964	27	0	35.037654	59.426609	41.832599	7.471119	5.523285	9.375697
147.285	4.3359375	0.428	0.764	32	1	54.617519	71.206016	42.157151	8.009945	2.89622	8.407445
21.348	3.4609375	0.1	0.839	38	1	51.525961	69.173603	56.89667	9.457437	3.976748	8.665641
98.848	10.4609375	0.475	0.639	27	0	20.610384	48.892412	25.480922	6.744386	3.016257	10.968728
60.098	13.9609375	0.287	0.739	32	0	26.7935	52.628044	35.600289	7.34422	3.580449	10.321258
137.598	6.9609375	0.662	0.939	27	1	50.495442	69.216541	36.446155	7.434968	3.51753	8.550056
40.723	8.7109375	0.756	0.789	32	1	31.946096	55.662351	32.044257	7.445009	3.123761	10.012201
118.223	1.7109375	0.381	0.989	38	0	66.98375	79.407231	67.428836	9.431152	3.463742	7.627248
79.473	5.2109375	0.569	0.889	27	0	36.068173	61.40177	32.624634	7.054996	3.791514	9.612691
156.973	12.2109375	0.194	0.689	32	1	43.281807	64.149822	39.333756	7.536212	3.020765	8.668503
9.238	9.3671875	0.229	0.745	27	0	42.251288	60.614568	30.538867	7.132806	3.634124	10.581778
86.738	2.3671875	0.604	0.945	38	1	59.770115	74.913022	52.604017	9.523614	3.252523	8.389512
47.988	5.8671875	0.416	0.845	27	1	31.946096	57.279693	33.011293	7.627737	4.073251	10.529605
125.488	12.8671875	0.791	0.645	32	0	29.885057	55.705289	27.689924	6.735022	2.337059	9.743628
28.613	4.1171875	0.697	0.895	38	0	48.434403	68.057207	46.36193	8.159536	3.304004	9.275148
106.113	11.1171875	0.322	0.695	32	1	34.007134	59.598362	37.765563	7.654399	3.04479	9.901002
67.363	14.6171875	0.51	0.795	32	1	28.854538	54.359889	34.587687	7.476978	3.468148	10.242582
144.863	7.6171875	0.135	0.995	27	0	56.678557	72.36535	48.351418	7.521203	4.758407	8.111727
18.926	6.7421875	0.463	0.62	32	0	28.854538	53.272119	29.317775	7.121293	2.789859	10.785086
96.426	13.7421875	0.088	0.82	38	1	50.495442	67.198441	53.557109	8.99416	3.539928	8.817753
57.676	10.2421875	0.651	0.92	27	1	28.854538	56.191923	31.145824	7.251972	4.045063	9.941952
135.176	3.2421875	0.276	0.72	38	0	59.770115	74.526578	50.728114	8.350372	2.5718	8.081362
38.301	11.9921875	0.369	0.97	38	0	47.403884	66.511428	54.692916	8.644212	4.227452	8.795989
115.801	4.9921875	0.744	0.77	27	1	38.129211	63.376932	29.013467	7.067067	2.974442	9.49207
77.051	1.4921875	0.182	0.67	32	1	37.098692	61.058264	37.827071	8.113105	3.23451	9.889811
154.551	8.4921875	0.557	0.87	27	0	49.464923	67.899767	35.133444	6.864138	3.53996	8.609499
14.082	1.9296875	0.299	0.758	27	0	41.220769	61.831153	32.478392	7.104295	3.74176	10.349447
91.582	8.9296875	0.674	0.958	38	1	55.648038	71.520897	48.226956	8.950355	3.220813	8.534269
